number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
19,0.0,2026-02-05 02:25:31.635128,2026-02-05 02:25:31.670807,0 days 00:00:00.035679,-1.8364647010397661,2.4130473683699308e-05,0.04785087992387552,0.00013975650379031697,2.4558049786301066e-05,COMPLETE
20,0.0,2026-02-05 02:25:31.673898,2026-02-05 02:25:31.709227,0 days 00:00:00.035329,-1.069229868102804,4.976686944798809e-05,0.8154092154792383,0.0005752378188301861,1.3352307240253425e-05,COMPLETE
21,0.0,2026-02-05 02:25:31.712223,2026-02-05 02:25:31.745626,0 days 00:00:00.033403,-1.3456861580289465,1.4398416720777216e-05,0.7511294552163972,5.3148542792433924e-05,1.4607590768032212e-05,COMPLETE
22,0.0,2026-02-05 02:25:31.749408,2026-02-05 02:25:31.783323,0 days 00:00:00.033915,-1.1150238104770236,1.2856950782190894e-05,0.6792635252577749,7.538856467818398e-05,1.9345573631671245e-05,COMPLETE
23,0.0,2026-02-05 02:25:31.786369,2026-02-05 02:25:31.820197,0 days 00:00:00.033828,-1.3405964200455913,3.170874217894824e-05,0.8345535873590842,7.158700360279947e-05,1.4318612508167606e-05,COMPLETE
24,0.0,2026-02-05 02:25:31.823114,2026-02-05 02:25:31.857072,0 days 00:00:00.033958,-0.6809010245711911,7.5430616524333785e-06,0.5957384788319069,0.00026373008896267766,3.485143114125738e-05,COMPLETE
25,0.0,2026-02-05 02:25:31.860222,2026-02-05 02:25:31.893776,0 days 00:00:00.033554,-0.900188749181595,2.0492905521559597e-05,0.43057266692569446,0.00014614973762197277,1.1228740054231306e-05,COMPLETE
26,0.0,2026-02-05 02:25:31.896962,2026-02-05 02:25:31.931681,0 days 00:00:00.034719,-1.7166052712574797,8.334352729838317e-07,0.7558625471979274,6.167308265995823e-05,2.1976498251519678e-05,COMPLETE
27,0.0,2026-02-05 02:25:31.935016,2026-02-05 02:25:31.979438,0 days 00:00:00.044422,-1.4898980908292359,3.995876589437727e-05,0.904263316247961,8.891206541789523e-05,1.709921267362399e-05,COMPLETE
28,0.0,2026-02-05 02:25:31.986942,2026-02-05 02:25:32.024818,0 days 00:00:00.037876,-0.531792745958969,5.167927845373647e-05,0.5733699150271825,0.00012822491476287986,1.2535350053971002e-05,COMPLETE
29,0.0,2026-02-05 02:25:32.028269,2026-02-05 02:25:32.061757,0 days 00:00:00.033488,-1.0199039748938596,2.8088073721564565e-05,0.713394493786697,0.0005156453507348506,2.1664896703414414e-05,COMPLETE
30,0.0,2026-02-05 02:25:32.065263,2026-02-05 02:25:32.100519,0 days 00:00:00.035256,-0.7886095316107348,9.519155426102849e-05,0.32625787547882856,9.054595474137383e-05,1.7626321166068387e-05,COMPLETE
31,0.0,2026-02-05 02:25:32.103541,2026-02-05 02:25:32.137905,0 days 00:00:00.034364,-1.543817212809626,6.900554490223207e-05,0.459210914439741,0.000706271245071607,2.6644458323252944e-05,COMPLETE
32,0.0,2026-02-05 02:25:32.140956,2026-02-05 02:25:32.176361,0 days 00:00:00.035405,-1.4352431143176507,8.668801507194023e-05,0.7895380768259976,0.00019989175783859304,2.49038771217216e-05,COMPLETE
33,0.0,2026-02-05 02:25:32.179309,2026-02-05 02:25:32.226297,0 days 00:00:00.046988,-1.6409771652577807,9.74630823608127e-05,0.664857753772841,0.0009520963614415953,3.6541061904939347e-05,COMPLETE
34,0.0,2026-02-05 02:25:32.230373,2026-02-05 02:25:32.273916,0 days 00:00:00.043543,-1.9942311243179707,6.47870894780236e-05,0.8879266476338061,0.0007226953449300553,1.607066165766809e-05,COMPLETE
35,0.0,2026-02-05 02:25:32.278110,2026-02-05 02:25:32.322493,0 days 00:00:00.044383,-1.1777800983022262,7.97548333287691e-05,0.21133887884673222,0.0003170212191722572,0.00020766445719387137,COMPLETE
36,0.0,2026-02-05 02:25:32.325768,2026-02-05 02:25:32.372674,0 days 00:00:00.046906,-1.308537865420722,1.62484781401915e-05,0.9898550013027361,0.00016319912626725527,2.0310274502904016e-05,COMPLETE
37,0.0,2026-02-05 02:25:32.378520,2026-02-05 02:25:32.420303,0 days 00:00:00.041783,-1.2035969044537413,4.9315519759326505e-05,0.7168103815855857,0.00047348283760532907,1.227499152105257e-05,COMPLETE
38,0.0,2026-02-05 02:25:32.424093,2026-02-05 02:25:32.472891,0 days 00:00:00.048798,-1.6985338221144928,3.581119893681463e-05,0.10294229112111924,0.0007355152286109443,6.502199549171518e-05,COMPLETE
39,0.0,2026-02-05 02:25:32.477099,2026-02-05 02:25:32.511600,0 days 00:00:00.034501,-1.3959808301923915,5.501103711320703e-05,0.2716590815820123,6.447155917605371e-05,4.798673640077327e-05,COMPLETE
