number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
11,94.52000000000001,2026-02-06 00:30:06.275788,2026-02-06 00:31:39.439952,0 days 00:01:33.164164,-1.072372968901334,3.7934927818779878,0.00839181158597732,0.0001791696255764167,COMPLETE
12,96.42,2026-02-06 00:31:39.443114,2026-02-06 00:33:12.161226,0 days 00:01:32.718112,-0.7146835340378763,3.7711648190078466,0.002187403943888508,1.1787572272081618e-05,COMPLETE
13,106.02000000000001,2026-02-06 00:33:12.164333,2026-02-06 00:34:44.914243,0 days 00:01:32.749910,-0.43691105229697397,3.098102761932508,0.009177573173672862,0.00027673482520965766,COMPLETE
14,114.42,2026-02-06 00:34:44.917526,2026-02-06 00:36:16.988952,0 days 00:01:32.071426,-1.2637640324222756,4.343217921490024,0.0020557242674746866,0.0006852410537023412,COMPLETE
15,117.12,2026-02-06 00:36:16.992354,2026-02-06 00:37:48.949104,0 days 00:01:31.956750,-0.11574228067059728,2.8848691859138595,0.0003434891598503273,9.243711355088747e-05,COMPLETE
16,107.02000000000001,2026-02-06 00:37:48.952323,2026-02-06 00:39:21.739789,0 days 00:01:32.787466,-0.9409586740800264,4.107434529433591,0.002619235508721427,0.00018909304495745398,COMPLETE
17,116.08000000000001,2026-02-06 00:39:21.742857,2026-02-06 00:40:53.711229,0 days 00:01:31.968372,-1.5214687860458103,4.4693006811476454,0.009368984421091455,0.00019513653831634272,COMPLETE
18,97.62,2026-02-06 00:40:53.714317,2026-02-06 00:42:26.584289,0 days 00:01:32.869972,-0.6081371252809883,3.2974210457225706,0.0011650144874555163,6.567108404742748e-05,COMPLETE
19,99.8,2026-02-06 00:42:26.587289,2026-02-06 00:43:59.106701,0 days 00:01:32.519412,-0.3433131025470577,2.6123523514899736,0.00022050046752551856,0.0005137465576525858,COMPLETE
20,109.6,2026-02-06 00:43:59.109757,2026-02-06 00:45:31.594216,0 days 00:01:32.484459,-1.4309149877404108,4.0138399321702565,0.004112878480813904,0.0003033616442695496,COMPLETE
21,114.85999999999999,2026-02-06 00:45:31.597383,2026-02-06 00:47:03.917742,0 days 00:01:32.320359,-1.8963061401242391,1.8368369341011668,0.004609222079240037,1.2487119216997354e-05,COMPLETE
22,120.56000000000002,2026-02-06 00:47:03.920934,2026-02-06 00:48:36.256266,0 days 00:01:32.335332,-1.780741028868455,2.0652944869811067,0.004047789799200417,2.266870750451978e-05,COMPLETE
23,114.64000000000001,2026-02-06 00:48:36.259447,2026-02-06 00:50:09.399611,0 days 00:01:33.140164,-1.786079465881675,1.0986010344935198,0.001688946216597099,5.0512790435785835e-05,COMPLETE
24,115.25999999999999,2026-02-06 00:50:09.402767,2026-02-06 00:51:41.445339,0 days 00:01:32.042572,-1.3392428732258024,1.5212389473668821,0.005929665699766329,0.00013000366203367,COMPLETE
