number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
28,172.15,2026-02-03 01:01:42.556370,2026-02-03 01:04:10.654116,0 days 00:02:28.097746,-0.7971246012664144,0.12320014439310749,0.29345732487380033,0.0005984525579715009,1.3523140374899908e-05,COMPLETE
29,108.25,2026-02-03 01:04:10.658222,2026-02-03 01:06:38.851213,0 days 00:02:28.192991,-0.7960869611021393,0.1285433978932348,0.2910947869573049,0.00031080249960154064,1.277847408093611e-05,COMPLETE
30,132.89999999999998,2026-02-03 01:06:38.854739,2026-02-03 01:09:08.200334,0 days 00:02:29.345595,-0.8902273487744266,0.1454762106778968,0.12768762510998097,9.44895595918744e-05,1.7214037453610225e-05,COMPLETE
31,143.65,2026-02-03 01:09:08.203874,2026-02-03 01:11:35.781823,0 days 00:02:27.577949,-0.8724499794669752,0.16247355239143352,0.24589125794097977,0.00014770927682040017,1.0154158485816096e-05,COMPLETE
32,126.65,2026-02-03 01:11:35.785061,2026-02-03 01:14:02.605083,0 days 00:02:26.820022,-0.5227903656518883,0.1188301912290542,0.380992376934475,0.0006199335244607976,2.7504865444609572e-05,COMPLETE
33,139.3,2026-02-03 01:14:02.608552,2026-02-03 01:16:30.148121,0 days 00:02:27.539569,-0.6429749071284567,0.12731434681805487,0.052108993328480485,0.0008105673275059274,1.354268590238801e-05,COMPLETE
34,117.1,2026-02-03 01:16:30.151440,2026-02-03 01:18:58.375985,0 days 00:02:28.224545,-0.7580931409662872,0.13793000092790209,0.4648642373743409,0.00040529290442832674,1.9709478775639425e-05,COMPLETE
35,153.7,2026-02-03 01:18:58.379292,2026-02-03 01:21:26.447630,0 days 00:02:28.068338,-0.6055232720645873,0.11331687817819716,0.4196540255158471,0.0009599234135852852,1.787107679373811e-05,COMPLETE
36,121.8,2026-02-03 01:21:26.450813,2026-02-03 01:23:55.559894,0 days 00:02:29.109081,-0.24396668596979598,0.12466651189120648,0.3336369283350693,0.0006186688020407255,2.481399582571167e-05,COMPLETE
37,140.05,2026-02-03 01:23:55.564062,2026-02-03 01:26:26.672829,0 days 00:02:31.108767,-0.44168391112600963,0.11301509134663787,0.2298011655779808,0.0007539384498322732,1.2578846440864032e-05,COMPLETE
38,149.15,2026-02-03 01:26:26.676283,2026-02-03 01:28:52.032982,0 days 00:02:25.356699,-0.6791273685370856,0.10117782244511157,0.2928654613274988,0.00019405532727399,0.0001306790469970957,COMPLETE
