number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
11,128.1,2026-02-04 21:53:26.444546,2026-02-04 21:56:05.665697,0 days 00:02:39.221151,-0.10501097060375947,6.407432406759951e-05,0.40854310548320144,0.0003133053337412905,0.00011901027610308858,COMPLETE
12,119.55,2026-02-04 21:56:05.668655,2026-02-04 21:58:13.569849,0 days 00:02:07.901194,-0.26766467407961525,1.4383472900195485e-05,0.4000357477281986,0.00031092702627897033,0.0001291229300008242,COMPLETE
13,138.1,2026-02-04 21:58:13.573237,2026-02-04 22:00:30.126270,0 days 00:02:16.553033,-0.2580696268370457,0.0002689004688700959,0.6280445204501781,0.000914822987984795,9.104620561704299e-05,COMPLETE
14,108.1,2026-02-04 22:00:30.130434,2026-02-04 22:02:56.143253,0 days 00:02:26.012819,-0.513317626666127,0.00016960120261616648,0.7931201149418278,0.0004196271234183338,0.00011176950100399397,COMPLETE
15,98.65,2026-02-04 22:02:56.146468,2026-02-04 22:05:19.650903,0 days 00:02:23.504435,-0.3569555221606222,0.00036094866247423155,0.5556893590026204,0.000960534152080535,0.00013394576076993368,COMPLETE
16,177.5,2026-02-04 22:05:19.653897,2026-02-04 22:07:44.726570,0 days 00:02:25.072673,-0.11474928521335716,1.571593991434184e-05,0.5098639396321658,0.0006798357932066041,0.0001496168132074528,COMPLETE
17,147.39999999999998,2026-02-04 22:07:44.730251,2026-02-04 22:10:33.475976,0 days 00:02:48.745725,-0.21433610026387484,0.0005222372696888202,0.8501323797294964,0.0006815401947880595,0.00014785500481726024,COMPLETE
18,,2026-02-04 22:10:33.479040,2026-02-04 22:12:24.735707,0 days 00:01:51.256667,-0.22505817798300834,0.0006025575946733924,0.8417418779809474,0.0006246381494855398,0.00014849587590792592,FAIL
19,119.2,2026-02-04 22:34:03.695127,2026-02-04 22:36:09.202014,0 days 00:02:05.506887,-0.033073949635173835,0.047098595766583866,0.06947302843695874,0.00012632296745458013,0.000265669017921297,COMPLETE
20,114.4,2026-02-04 22:36:09.206317,2026-02-04 22:38:13.890049,0 days 00:02:04.683732,-0.8974751424453393,0.18725685143223206,0.15456138865632252,0.00016320773894296483,2.8072044630229906e-05,COMPLETE
21,117.6,2026-02-04 22:38:13.893144,2026-02-04 22:40:27.231837,0 days 00:02:13.338693,-0.027228550327210888,0.045587128953816274,0.27745935466937965,5.7705460077628776e-05,5.987155210159814e-05,COMPLETE
22,129.25,2026-02-04 22:40:27.235066,2026-02-04 22:42:43.893897,0 days 00:02:16.658831,-0.22808263394309913,0.03899746019007098,0.3281114626929438,0.0006221747523824995,0.0002788894176102721,COMPLETE
23,141.60000000000002,2026-02-04 22:42:43.897042,2026-02-04 22:45:01.722829,0 days 00:02:17.825787,-0.1106880681233626,0.03264141465831273,0.34999574918820225,0.0003780908907152591,0.00020397290968184173,COMPLETE
24,114.65,2026-02-04 22:45:01.726419,2026-02-04 22:47:19.428752,0 days 00:02:17.702333,-0.36749099271402436,0.06799975229726772,0.19776561212948973,0.00022266613500116874,1.2717317520247723e-05,COMPLETE
25,137.5,2026-02-04 22:47:19.431864,2026-02-04 22:49:38.126291,0 days 00:02:18.694427,-0.21387564221752353,0.11885302340844567,0.36239436688129,7.915839607080388e-05,6.420671237737222e-05,COMPLETE
26,96.6,2026-02-04 22:49:38.129615,2026-02-04 22:52:00.675374,0 days 00:02:22.545759,-0.2994013505708294,0.027874908147981867,0.284300456289313,0.0006650983064465144,0.00019709028231967127,COMPLETE
27,101.9,2026-02-04 22:52:00.678750,2026-02-04 22:54:20.265613,0 days 00:02:19.586863,-0.442634519066592,0.07403502926976253,0.044105619278060865,0.0004491326864142547,3.8845132240690225e-05,COMPLETE
28,169.45,2026-02-04 22:54:20.268686,2026-02-04 22:56:39.084317,0 days 00:02:18.815631,-0.08586332788151801,0.11327182996709585,0.19577545870699462,0.0002278492134670901,0.00019461693246999157,COMPLETE
29,116.19999999999999,2026-02-04 22:56:39.087474,2026-02-04 22:58:57.932597,0 days 00:02:18.845123,-0.06450250859790228,0.11983349400274064,0.18574073759300652,0.00023086912668007352,0.00019831078108380052,COMPLETE
30,203.75,2026-02-04 22:58:57.935663,2026-02-04 23:01:20.674048,0 days 00:02:22.738385,-0.16594503559193383,0.1471601154384561,0.10419725999781801,0.00014527905225510224,7.281318288599893e-05,COMPLETE
31,137.05,2026-02-04 23:01:20.677885,2026-02-04 23:03:52.859875,0 days 00:02:32.181990,-0.00010756475877216065,0.1483555622228022,0.09768999389908468,0.00011492504783471467,7.624604206183661e-05,COMPLETE
