radius,alpha,fmax,wall_dist_mean,wall_dist_min,wall_dist_median,avg_turn,turn_std,stuck_events
0.4,0.5,500.0,1.1237874875490708,0.3899557740533409,1.0696063039701937,0.46776425049834264,0.29620965131934074,0
0.4,0.5,1000.0,0.9386284303845436,0.37366702995560075,0.9903537339266772,0.5095222442570957,0.2923399637785115,0
0.4,0.5,1500.0,1.4854969741403046,0.3804437658795937,1.4073402694829196,0.4985937341915754,0.2834594582071975,0
0.4,1.0,500.0,0.9854808227204765,0.38550352848025293,0.8561697543881387,0.4756357505735165,0.27631686974856634,0
0.4,1.0,1000.0,0.8379723776667151,0.37912857818954293,0.6040945444742016,0.5027885034898645,0.29058461008876635,0
0.4,1.0,1500.0,1.0637338326770176,0.3703853019406158,0.8599147375736722,0.4982761817560338,0.2897620147354823,0
0.4,1.5,500.0,0.9433049006052774,0.3803251530153108,0.8919826587963925,0.5111372694113137,0.3049693584849814,0
0.4,1.5,1000.0,1.3523730417094344,0.378074575386124,1.3579171023503336,0.48972975940559993,0.2846577789785114,0
0.4,1.5,1500.0,0.9873616225892655,0.3646236080321582,0.8253213713113131,0.5062431285499285,0.28294576475215655,0
0.6,0.5,500.0,0.7643995515318371,0.3258559040792788,0.7746051231915059,0.5063159149926408,0.292058203648564,0
0.6,0.5,1000.0,0.6685685093164148,0.36182773342984964,0.3980545636869271,0.4851070545857268,0.2883833869083261,0
0.6,0.5,1500.0,0.616301878667457,0.38054871957971675,0.3976379357286083,0.4769538656265164,0.2892352565087893,0
0.6,1.0,500.0,0.6723461581267022,0.38370796015197317,0.39575194577354467,0.5008655502529776,0.28759650870946524,0
0.6,1.0,1000.0,0.7188522111548866,0.38190403645421733,0.6507643576527437,0.49269229140236953,0.27983158216445053,0
0.6,1.0,1500.0,0.6079014457109637,0.34351819091703234,0.3936983282524127,0.4887579191542075,0.2999633993979854,0
0.6,1.5,500.0,0.5958220832358214,0.36802791071924784,0.3941961395291156,0.5035588057917388,0.2956274527130597,0
0.6,1.5,1000.0,0.6356080117682005,0.35974616776826784,0.39157954037424414,0.5184917698178227,0.2989252689966328,0
0.6,1.5,1500.0,0.5498773648367741,0.35864678464212296,0.3901484565430001,0.47306755993767485,0.28673883539120687,0
0.8,0.5,500.0,0.6583491827707614,0.3723284882817947,0.4457053571868768,0.49046480912094315,0.2925141567825996,0
0.8,0.5,1000.0,0.6843830164444501,0.3343745633411621,0.3967831303100048,0.4937385668409115,0.2881968559212627,0
0.8,0.5,1500.0,0.5051114767202592,0.34238909069326995,0.3948462199974545,0.5022072986552182,0.2899555825945836,0
0.8,1.0,500.0,0.5809982034182326,0.3402969520293487,0.39352193561672777,0.48406113785769167,0.27742671840465577,0
0.8,1.0,1000.0,0.5998631226734459,0.3025442729658416,0.39044768366005556,0.5075439189406461,0.29030930009422184,0
0.8,1.0,1500.0,0.4703101168951355,0.3669696107994505,0.3875022600720066,0.5134416051137184,0.2909470217596714,0
0.8,1.5,500.0,0.4706806251332494,0.3774082782097721,0.39082749600404326,0.5101539981460277,0.29536714146392773,0
0.8,1.5,1000.0,0.7714658263480536,0.12495938994594348,0.8303242789111022,0.4994036095891109,0.2942729078578555,0
0.8,1.5,1500.0,0.8286837607250104,0.307986696363766,0.5122446079974899,0.49387678192617995,0.28228169011533016,0
