vis,base_reward,est_dist_bonus,total_reward,min_dist
0,-0,0.00354621,-0.00339158,0.212772
0,-0,0.0035462,-0.00339158,0.212772
0,-0,0.0035462,-0.00339158,0.212772
0,-0,0.00354619,-0.00339158,0.212772
0,-0,0.00354619,-0.00339158,0.212771
0,-0,0.00354618,-0.00339158,0.212771
0,-0,0.00354618,-0.00339158,0.212771
0,-0,0.00354617,-0.00339158,0.21277
0,-0,0.00354617,-0.00339158,0.21277
0,-0,0.00354616,-0.00339158,0.21277
0,-0,0.00354616,-0.00339158,0.212769
0,-0,0.00354615,-0.00339158,0.212769
0,-0,0.00354615,-0.00339158,0.212769
0,-0,0.00354614,-0.00339158,0.212768
0,-0,0.00354614,-0.00339158,0.212768
0,-0,0.00354613,-0.00339158,0.212768
0,-0,0.00354613,-0.00339158,0.212768
0,-0,0.00354612,-0.00339158,0.212767
0,-0,0.00354612,-0.00339158,0.212767
0,-0,0.00354611,-0.00339158,0.212767
0,-0,0.00354611,-0.00339158,0.212766
0,-0,0.0035461,-0.00339158,0.212766
0,-0,0.0035461,-0.00339158,0.212766
0,-0,0.00354609,-0.00339158,0.212765
0,-0,0.00354609,-0.00339158,0.212765
0,-0,0.00354608,-0.00339158,0.212765
0,-0,0.00354608,-0.00339158,0.212765
0,-0,0.00354607,-0.00339158,0.212764
0,-0,0.00354607,-0.00339158,0.212764
0,-0,0.00354606,-0.00339158,0.212764
0,-0,0.00354606,-0.00339158,0.212763
0,-0,0.00354605,-0.00339158,0.212763
0,-0,0.00354605,-0.00339158,0.212763
0,-0,0.00354604,-0.00339158,0.212762
0,-0,0.00354604,-0.00339158,0.212762
0,-0,0.00354603,-0.00339158,0.212762
0,-0,0.00354603,-0.00339158,0.212762
0,-0,0.00354602,-0.00339158,0.212761
0,-0,0.00354602,-0.00339158,0.212761
0,-0,0.00354601,-0.00339158,0.212761
0,-0,0.00354601,-0.00339158,0.21276
0,-0,0.003546,-0.00339158,0.21276
0,-0,0.003546,-0.00339158,0.21276
0,-0,0.00354599,-0.00339158,0.212759
0,-0,0.00354599,-0.00339158,0.212759
0,-0,0.00354598,-0.00339158,0.212759
0,-0,0.00354598,-0.00339158,0.212759
0,-0,0.00354597,-0.00339158,0.212758
0,-0,0.00354597,-0.00339158,0.212758
0,-0,0.00354596,-0.00339158,0.212758
0,-0,0.00354596,-0.00339158,0.212757
0,-0,0.00354595,-0.00339158,0.212757
0,-0,0.00354595,-0.00339158,0.212757
0,-0,0.00354594,-0.00339158,0.212756
0,-0,0.00354593,-0.00339158,0.212756
0,-0,0.00354593,-0.00339158,0.212756
0,-0,0.00354592,-0.00339158,0.212755
0,-0,0.00354592,-0.00339158,0.212755
0,-0,0.00354591,-0.00339158,0.212755
0,-0,0.00354591,-0.00339158,0.212755
0,-0,0.0035459,-0.00339158,0.212754
0,-0,0.0035459,-0.00339158,0.212754
0,-0,0.00354589,-0.00339158,0.212754
