step,det_action0,action0,sampled_action0,wall_distance,vx,vy,speed,gaze,enemy_visible,nearest_enemy_dist,base_reward,reward,obs,next_obs
91,-0.37294813990592957,-0.373507559299469,1.1772961616516113,0.5122268302813116,-0.33959659934043884,0.10199670493602753,0.3545831046474121,0.0,False,,-1.0751402380734805,-1.0555181503295898,"[-0.31956005096435547, 0.08672915399074554, -0.14822235703468323, 0.7377184629440308, -0.6751084923744202, 0.282776802778244, 0.39017266035079956, 0.22644828259944916, 0.35455939173698425, 0.20021075010299683, 0.3465447723865509, 0.19109240174293518, 0.08504779636859894, 0.059933606535196304, 0.6096927523612976, 0.04050140082836151, 0.054847054183483124, -0.6490483283996582, 0.17348790168762207, 0.0, 0.0, 0.7377184629440308, 0.6751084923744202, 0.0, 0.0, -0.17774741351604462, -0.13048437237739563, 0.0, 0.0, 0.7377184629440308, 0.6751084923744202, 0.0, 0.0, 0.017477432265877724, 0.1787843108177185, 0.0, 0.0, 0.7377184629440308, 0.6751084923744202, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.33959659934043884, 0.10199670493602753, -0.13631506264209747, 0.7765812277793884, -0.6300171613693237, 0.3182172179222107, 0.3860335350036621, 0.2476484775543213, 0.35696324706077576, 0.214671790599823, 0.35442671179771423, 0.20156769454479218, 0.09147873520851135, 0.05420241877436638, 0.3295024633407593, 0.03433333337306976, 0.04397280141711235, -0.6239048838615417, 0.20747460424900055, 0.0, 0.0, 0.7765812277793884, 0.6300171613693237, 0.0, 0.0, -0.1715257167816162, -0.12400209903717041, 0.0, 0.0, 0.7765812277793884, 0.6300171613693237, 0.0, 0.0, 0.0417545922100544, 0.17310209572315216, 0.0, 0.0, 0.7765812277793884, 0.6300171613693237, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
92,-0.37190985679626465,-0.37294813990592957,-1.725357174873352,0.40626751756049584,-0.3577441871166229,0.11765794456005096,0.37659566558024715,0.0,False,,-1.0720722255774766,-1.052448034286499,"[-0.33959659934043884, 0.10199670493602753, -0.13631506264209747, 0.7765812277793884, -0.6300171613693237, 0.3182172179222107, 0.3860335350036621, 0.2476484775543213, 0.35696324706077576, 0.214671790599823, 0.35442671179771423, 0.20156769454479218, 0.09147873520851135, 0.05420241877436638, 0.3295024633407593, 0.03433333337306976, 0.04397280141711235, -0.6239048838615417, 0.20747460424900055, 0.0, 0.0, 0.7765812277793884, 0.6300171613693237, 0.0, 0.0, -0.1715257167816162, -0.12400209903717041, 0.0, 0.0, 0.7765812277793884, 0.6300171613693237, 0.0, 0.0, 0.0417545922100544, 0.17310209572315216, 0.0, 0.0, 0.7765812277793884, 0.6300171613693237, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.3577441871166229, 0.11765794456005096, -0.12441195547580719, 0.8126799464225769, -0.582710325717926, 0.3611765205860138, 0.3842490315437317, 0.27219799160957336, 0.3613322377204895, 0.23102687299251556, 0.36443281173706055, 0.21330033242702484, 0.1110270544886589, 0.0464802123606205, 0.2934444844722748, 0.02744986303150654, 0.033327385783195496, -0.5960150361061096, 0.23922555148601532, 0.0, 0.0, 0.8126799464225769, 0.582710325717926, 0.0, 0.0, -0.16415323317050934, -0.11857198923826218, 0.0, 0.0, 0.8126799464225769, 0.582710325717926, 0.0, 0.0, 0.06642082333564758, 0.16531981527805328, 0.0, 0.0, 0.8126799464225769, 0.582710325717926, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
93,-0.375182569026947,-0.37190985679626465,-0.6410400867462158,0.39900061413375587,-0.06097736954689026,0.20652708411216736,0.2153408369741612,0.0,False,,-1.0699799262299334,-1.0588176250457764,"[-0.3577441871166229, 0.11765794456005096, -0.12441195547580719, 0.8126799464225769, -0.582710325717926, 0.3611765205860138, 0.3842490315437317, 0.27219799160957336, 0.3613322377204895, 0.23102687299251556, 0.36443281173706055, 0.21330033242702484, 0.1110270544886589, 0.0464802123606205, 0.2934444844722748, 0.02744986303150654, 0.033327385783195496, -0.5960150361061096, 0.23922555148601532, 0.0, 0.0, 0.8126799464225769, 0.582710325717926, 0.0, 0.0, -0.16415323317050934, -0.11857198923826218, 0.0, 0.0, 0.8126799464225769, 0.582710325717926, 0.0, 0.0, 0.06642082333564758, 0.16531981527805328, 0.0, 0.0, 0.8126799464225769, 0.582710325717926, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06097736954689026, 0.20652708411216736, -0.0763048529624939, 0.928098201751709, -0.3723355829715729, 0.38796180486679077, 0.36266273260116577, 0.3638802766799927, 0.3637314438819885, 0.2775284945964813, 0.09000340104103088, 0.23737433552742004, 0.28918296098709106, 0.07144103199243546, 0.06768742203712463, 0.028927378356456757, 0.02866080403327942, -0.5176677703857422, 0.36548158526420593, 0.0, 0.0, 0.928098201751709, 0.3723355829715729, 0.0, 0.0, -0.18347452580928802, -0.08489444851875305, 0.0, 0.0, 0.928098201751709, 0.3723355829715729, 0.0, 0.0, 0.10809031873941422, 0.13589602708816528, 0.0, 0.0, 0.928098201751709, 0.3723355829715729, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
94,-0.373860239982605,-0.375182569026947,-0.3589508831501007,0.40076903097667643,-0.05019915848970413,0.20781104266643524,0.21378817780032974,0.0,False,,-1.0681130597791992,-1.0571047067642212,"[-0.06097736954689026, 0.20652708411216736, -0.0763048529624939, 0.928098201751709, -0.3723355829715729, 0.38796180486679077, 0.36266273260116577, 0.3638802766799927, 0.3637314438819885, 0.2775284945964813, 0.09000340104103088, 0.23737433552742004, 0.28918296098709106, 0.07144103199243546, 0.06768742203712463, 0.028927378356456757, 0.02866080403327942, -0.5176677703857422, 0.36548158526420593, 0.0, 0.0, 0.928098201751709, 0.3723355829715729, 0.0, 0.0, -0.18347452580928802, -0.08489444851875305, 0.0, 0.0, 0.928098201751709, 0.3723355829715729, 0.0, 0.0, 0.10809031873941422, 0.13589602708816528, 0.0, 0.0, 0.928098201751709, 0.3723355829715729, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.05019915848970413, 0.20781104266643524, -0.034776102751493454, 0.984920859336853, -0.17300564050674438, 0.3654595613479614, 0.3613443672657013, 0.3970387876033783, 0.08255971968173981, 0.35086870193481445, 0.07946252822875977, 0.27523791790008545, 0.455354243516922, 0.2288089096546173, 0.04653794690966606, 0.032631490379571915, 0.027126988396048546, -0.42981573939323425, 0.4556058347225189, 0.0, 0.0, 0.984920859336853, 0.17300564050674438, 0.0, 0.0, -0.19564835727214813, -0.0539914071559906, 0.0, 0.0, 0.984920859336853, 0.17300564050674438, 0.0, 0.0, 0.1351698786020279, 0.10194873809814453, 0.0, 0.0, 0.984920859336853, 0.17300564050674438, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
95,-0.3739929795265198,-0.373860239982605,-1.6067707538604736,0.3997505400322291,8.983026054920629e-05,0.17182192206382751,0.171821945545916,0.18517879326239023,False,,-1.0664705324865171,-1.05964994430542,"[-0.05019915848970413, 0.20781104266643524, -0.034776102751493454, 0.984920859336853, -0.17300564050674438, 0.3654595613479614, 0.3613443672657013, 0.3970387876033783, 0.08255971968173981, 0.35086870193481445, 0.07946252822875977, 0.27523791790008545, 0.455354243516922, 0.2288089096546173, 0.04653794690966606, 0.032631490379571915, 0.027126988396048546, -0.42981573939323425, 0.4556058347225189, 0.0, 0.0, 0.984920859336853, 0.17300564050674438, 0.0, 0.0, -0.19564835727214813, -0.0539914071559906, 0.0, 0.0, 0.984920859336853, 0.17300564050674438, 0.0, 0.0, 0.1351698786020279, 0.10194873809814453, 0.0, 0.0, 0.984920859336853, 0.17300564050674438, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.983026054920629e-05, 0.17182192206382751, 0.006519988179206848, 0.9994686841964722, 0.032594166696071625, 0.36020803451538086, 0.07641065120697021, 0.3696843981742859, 0.07668899744749069, 0.40824586153030396, 0.09526267647743225, 0.33856990933418274, 0.5688275694847107, 0.23159770667552948, 0.036517973989248276, 0.03898007795214653, 0.02666420303285122, -0.32744351029396057, 0.5264036655426025, 0.0, 0.0, 0.9994686841964722, -0.032594166696071625, 0.0, 0.0, -0.20272596180438995, -0.020377125591039658, 0.0, 0.0, 0.9994686841964722, -0.032594166696071625, 0.0, 0.0, 0.15303485095500946, 0.06442748755216599, 0.0, 0.0, 0.9994686841964722, -0.032594166696071625, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
96,-0.3706855773925781,-0.3739929795265198,-0.33027711510658264,0.40003944927462776,0.03144992142915726,0.1364247053861618,0.14000284924815357,0.36685640270712894,False,,-1.0650856801506978,-1.0614336729049683,"[8.983026054920629e-05, 0.17182192206382751, 0.006519988179206848, 0.9994686841964722, 0.032594166696071625, 0.36020803451538086, 0.07641065120697021, 0.3696843981742859, 0.07668899744749069, 0.40824586153030396, 0.09526267647743225, 0.33856990933418274, 0.5688275694847107, 0.23159770667552948, 0.036517973989248276, 0.03898007795214653, 0.02666420303285122, -0.32744351029396057, 0.5264036655426025, 0.0, 0.0, 0.9994686841964722, -0.032594166696071625, 0.0, 0.0, -0.20272596180438995, -0.020377125591039658, 0.0, 0.0, 0.9994686841964722, -0.032594166696071625, 0.0, 0.0, 0.15303485095500946, 0.06442748755216599, 0.0, 0.0, 0.9994686841964722, -0.032594166696071625, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.03144992142915726, 0.1364247053861618, 0.04418012872338295, 0.9757004976272583, 0.2191084772348404, 0.07800140976905823, 0.07350846379995346, 0.36029866337776184, 0.08853323757648468, 0.3771439790725708, 0.2960393726825714, 0.42610421776771545, 0.24132268130779266, 0.2424469143152237, 0.031566619873046875, 0.04984996095299721, 0.027333486825227737, -0.22453315556049347, 0.5722013711929321, 0.0, 0.0, 0.9757004976272583, -0.2191084772348404, 0.0, 0.0, -0.20437200367450714, 0.011739760637283325, 0.0, 0.0, 0.9757004976272583, -0.2191084772348404, 0.0, 0.0, 0.16097421944141388, 0.028450651094317436, 0.0, 0.0, 0.9757004976272583, -0.2191084772348404, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
97,-0.35142403841018677,-0.3706855773925781,-0.7707421779632568,0.3998590659839468,0.04160456359386444,0.10482379049062729,0.11277839671080112,0.5069124913041623,True,6.957507984829581,-0.0,0.0009549793321639299,"[0.03144992142915726, 0.1364247053861618, 0.04418012872338295, 0.9757004976272583, 0.2191084772348404, 0.07800140976905823, 0.07350846379995346, 0.36029866337776184, 0.08853323757648468, 0.3771439790725708, 0.2960393726825714, 0.42610421776771545, 0.24132268130779266, 0.2424469143152237, 0.031566619873046875, 0.04984996095299721, 0.027333486825227737, -0.22453315556049347, 0.5722013711929321, 0.0, 0.0, 0.9757004976272583, -0.2191084772348404, 0.0, 0.0, -0.20437200367450714, 0.011739760637283325, 0.0, 0.0, 0.9757004976272583, -0.2191084772348404, 0.0, 0.0, 0.16097421944141388, 0.028450651094317436, 0.0, 0.0, 0.9757004976272583, -0.2191084772348404, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.04160456359386444, 0.10482379049062729, 0.07520750164985657, 0.9301270842552185, 0.36723774671554565, 0.07001328468322754, 0.08105851709842682, 0.11334341019392014, 0.31405961513519287, 0.3639647364616394, 0.26809123158454895, 0.39243409037590027, 0.2368151694536209, 0.2588101625442505, 0.029058190062642097, 0.0669742152094841, 0.028659816831350327, -0.13532331585884094, 0.5951685309410095, 0.0, 0.0, 0.9301270842552185, -0.36723774671554565, 0.0, 0.0, -0.20200420916080475, 0.03832266479730606, 0.0, 0.0, 0.9301270842552185, -0.36723774671554565, 0.0, 0.0, 0.16153584420681, -0.0016184872947633266, 0.0, 0.0, 0.9301270842552185, -0.36723774671554565, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29390397667884827, 0.4997795522212982, 0.0, 0.0, -0.8269371390342712, -0.5622944235801697, 0.0, 1.0]"
98,-0.3224281072616577,-0.35142403841018677,0.4378514885902405,0.39994480221654294,0.04145631939172745,0.07610191404819489,0.08666099318209872,0.6090877119473488,True,6.902748053137108,-0.0,-0.014146549627184868,"[0.04160456359386444, 0.10482379049062729, 0.07520750164985657, 0.9301270842552185, 0.36723774671554565, 0.07001328468322754, 0.08105851709842682, 0.11334341019392014, 0.31405961513519287, 0.3639647364616394, 0.26809123158454895, 0.39243409037590027, 0.2368151694536209, 0.2588101625442505, 0.029058190062642097, 0.0669742152094841, 0.028659816831350327, -0.13532331585884094, 0.5951685309410095, 0.0, 0.0, 0.9301270842552185, -0.36723774671554565, 0.0, 0.0, -0.20200420916080475, 0.03832266479730606, 0.0, 0.0, 0.9301270842552185, -0.36723774671554565, 0.0, 0.0, 0.16153584420681, -0.0016184872947633266, 0.0, 0.0, 0.9301270842552185, -0.36723774671554565, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29390397667884827, 0.4997795522212982, 0.0, 0.0, -0.8269371390342712, -0.5622944235801697, 0.0, 1.0]","[0.04145631939172745, 0.07610191404819489, 0.09977537393569946, 0.878120481967926, 0.478439599275589, 0.07415272295475006, 0.0898919403553009, 0.06698880344629288, 0.28435030579566956, 0.3601137101650238, 0.25297805666923523, 0.3753037750720978, 0.05572905018925667, 0.27786827087402344, 0.027796156704425812, 0.0943431630730629, 0.030363701283931732, -0.0633423775434494, 0.6036731600761414, 0.0, 0.0, 0.878120481967926, -0.478439599275589, 0.0, 0.0, -0.19775152206420898, 0.05919371545314789, 0.0, 0.0, 0.878120481967926, -0.478439599275589, 0.0, 0.0, 0.15815459191799164, -0.02499096281826496, 0.0, 0.0, 0.878120481967926, -0.478439599275589, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35036492347717285, 0.4562157690525055, 0.0, 0.0, -0.8985676169395447, -0.43883511424064636, 0.0, 1.0]"
99,-0.3101368844509125,-0.3224281072616577,1.5058437585830688,0.3999809782173339,0.03588072210550308,0.05331147834658623,0.06426149657696177,0.6801500293350398,True,6.85904222085416,-0.0,-0.013989868573844433,"[0.04145631939172745, 0.07610191404819489, 0.09977537393569946, 0.878120481967926, 0.478439599275589, 0.07415272295475006, 0.0898919403553009, 0.06698880344629288, 0.28435030579566956, 0.3601137101650238, 0.25297805666923523, 0.3753037750720978, 0.05572905018925667, 0.27786827087402344, 0.027796156704425812, 0.0943431630730629, 0.030363701283931732, -0.0633423775434494, 0.6036731600761414, 0.0, 0.0, 0.878120481967926, -0.478439599275589, 0.0, 0.0, -0.19775152206420898, 0.05919371545314789, 0.0, 0.0, 0.878120481967926, -0.478439599275589, 0.0, 0.0, 0.15815459191799164, -0.02499096281826496, 0.0, 0.0, 0.878120481967926, -0.478439599275589, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.35036492347717285, 0.4562157690525055, 0.0, 0.0, -0.8985676169395447, -0.43883511424064636, 0.0, 1.0]","[0.03588072210550308, 0.05331147834658623, 0.11835525184869766, 0.8299511075019836, 0.55783611536026, 0.07845292240381241, 0.31871306896209717, 0.06882523000240326, 0.26745346188545227, 0.10529453307390213, 0.43649718165397644, 0.3668564558029175, 0.047801487147808075, 0.2969731390476227, 0.02717316336929798, 0.1385831981897354, 0.03212888166308403, -0.008794790133833885, 0.6043838858604431, 0.0, 0.0, 0.8299511075019836, -0.55783611536026, 0.0, 0.0, -0.1931334286928177, 0.0747208222746849, 0.0, 0.0, 0.8299511075019836, -0.55783611536026, 0.0, 0.0, 0.15342798829078674, -0.04211640730500221, 0.0, 0.0, 0.8299511075019836, -0.55783611536026, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3887648284435272, 0.4190148413181305, 0.0, 0.0, -0.9424604773521423, -0.3343175947666168, 0.0, 1.0]"
100,-0.29840606451034546,-0.3101368844509125,-1.4744303226470947,0.40003099461330355,0.02861577831208706,0.03496742248535156,0.04518388433585123,0.7281867125000302,True,6.824640489608747,-0.0,-0.013727923855185509,"[0.03588072210550308, 0.05331147834658623, 0.11835525184869766, 0.8299511075019836, 0.55783611536026, 0.07845292240381241, 0.31871306896209717, 0.06882523000240326, 0.26745346188545227, 0.10529453307390213, 0.43649718165397644, 0.3668564558029175, 0.047801487147808075, 0.2969731390476227, 0.02717316336929798, 0.1385831981897354, 0.03212888166308403, -0.008794790133833885, 0.6043838858604431, 0.0, 0.0, 0.8299511075019836, -0.55783611536026, 0.0, 0.0, -0.1931334286928177, 0.0747208222746849, 0.0, 0.0, 0.8299511075019836, -0.55783611536026, 0.0, 0.0, 0.15342798829078674, -0.04211640730500221, 0.0, 0.0, 0.8299511075019836, -0.55783611536026, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3887648284435272, 0.4190148413181305, 0.0, 0.0, -0.9424604773521423, -0.3343175947666168, 0.0, 1.0]","[0.02861577831208706, 0.03496742248535156, 0.13192316889762878, 0.7902277112007141, 0.6128133535385132, 0.08239174634218216, 0.2993345856666565, 0.07062327861785889, 0.25750795006752014, 0.06571519374847412, 0.43193256855010986, 0.36286461353302, 0.04351852461695671, 0.3141615688800812, 0.026881098747253418, 0.2502360939979553, 0.033748164772987366, 0.030823782086372375, 0.6018282771110535, 0.0, 0.0, 0.7902277112007141, -0.6128133535385132, 0.0, 0.0, -0.18899542093276978, 0.08587939292192459, 0.0, 0.0, 0.7902277112007141, -0.6128133535385132, 0.0, 0.0, 0.14884820580482483, -0.05418124422430992, 0.0, 0.0, 0.7902277112007141, -0.6128133535385132, 0.0, 0.0, 1.25, 1.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4141343832015991, 0.3897886574268341, 0.0, 0.0, -0.9683656692504883, -0.2495354413986206, 0.0, 1.0]"
