env,policy0,applied_forward
0,-0.8931822180747986,-0.3572728931903839
1,-0.9148769378662109,-0.3659507632255554
2,-0.6776317954063416,-0.2710527181625366
3,-0.8415225744247437,-0.33660903573036194
4,0.8674329519271851,0.346973180770874
5,-0.9823847413063049,-0.39295390248298645
6,-0.79298996925354,-0.31719598174095154
7,-0.7984246611595154,-0.3193698525428772
8,-0.8888800144195557,-0.3555520176887512
9,-0.7871639132499695,-0.3148655593395233
