number,value,datetime_start,datetime_complete,duration,params_ENT_COEF,params_LEARNING_RATE,params_PENALTY_STAGNATION_FORCE,params_REWARD_DISTANCE_DIFF_SCALE,params_REWARD_SURVIVAL_SCALE,state
47,121.68,54:03.0,55:22.3,0 days 00:01:19.354877,4.01E-05,9.66E-05,-3.102495344,9.530309927,6.960595454,COMPLETE
48,126.48,55:22.3,56:44.6,0 days 00:01:22.235314,1.26E-05,0.000453175,-1.855680128,3.809618775,2.74559358,COMPLETE
49,135.98,56:44.6,58:07.6,0 days 00:01:23.034808,6.46E-05,0.000346209,-1.536709551,7.518680367,1.76031255,COMPLETE
50,110.46,58:07.6,59:30.7,0 days 00:01:23.124830,0.000127587,0.000420405,-2.53357961,3.078798715,4.852463577,COMPLETE
51,129.16,59:30.7,00:57.8,0 days 00:01:27.034863,4.27E-05,0.000467987,-0.899883546,7.64880384,3.494905173,COMPLETE
52,124.08,00:57.8,02:20.7,0 days 00:01:22.900087,1.88E-05,0.000465942,-2.225243329,2.696981744,0.809972586,COMPLETE
53,123.94,02:20.7,03:41.9,0 days 00:01:21.202804,1.42E-05,0.000465616,-2.874068289,7.978846093,1.30974052,COMPLETE
54,134.7,03:41.9,05:02.9,0 days 00:01:21.015724,2.42E-05,0.000466812,-2.364448532,5.234099804,0.895688081,COMPLETE
55,129.84,05:02.9,06:23.7,0 days 00:01:20.845008,1.76E-05,0.000409648,-1.947288948,1.994655137,1.580926059,COMPLETE
56,110.8,06:23.7,07:44.8,0 days 00:01:21.090143,1.03E-05,0.000239602,-2.631689443,6.702325718,0.615565096,COMPLETE
57,140.5,07:44.8,09:05.9,0 days 00:01:21.109043,8.92E-05,0.00018009,-2.141518598,4.048942226,1.12882142,COMPLETE
58,121.56,09:05.9,10:27.1,0 days 00:01:21.116939,3.39E-05,0.000158033,-1.70129827,8.655458285,7.805222392,COMPLETE
59,104.94,10:27.1,11:48.5,0 days 00:01:21.413447,0.00022865,0.000472169,-1.315373953,6.368858731,4.185901286,COMPLETE
60,146.86,11:48.5,13:10.3,0 days 00:01:21.818261,1.37E-05,0.000375988,-3.336957996,1.940494194,2.415065211,COMPLETE
61,125.58,13:10.3,14:32.4,0 days 00:01:22.124712,1.30E-05,0.000364318,-3.252884137,1.51748899,2.273923623,COMPLETE
62,143.32,14:32.4,15:54.3,0 days 00:01:21.823020,2.02E-05,0.000309299,-2.859087966,4.236311268,1.187750209,COMPLETE
63,120.02,15:54.3,17:20.7,0 days 00:01:26.474564,1.22E-05,0.000310651,-3.632557134,4.671219586,1.699085954,COMPLETE
64,130.18,17:20.7,18:42.9,0 days 00:01:22.123059,2.13E-05,0.000273948,-3.906820629,3.01577001,3.272027052,COMPLETE
65,129.32,18:42.9,20:05.7,0 days 00:01:22.801460,2.73E-05,0.000384535,-2.907797853,1.945562649,2.42936709,COMPLETE
66,107.96,20:05.7,21:27.8,0 days 00:01:22.176146,5.22E-05,0.00042762,-3.327179566,3.824615393,2.01277983,COMPLETE
67,122.38,21:27.8,22:50.5,0 days 00:01:22.636438,2.00E-05,0.000250368,-3.073758349,2.400484977,3.808737774,COMPLETE
68,141.22,22:50.5,24:13.3,0 days 00:01:22.796303,3.54E-05,0.000199054,-2.790020323,5.777735981,5.078916827,COMPLETE
69,128.7,24:13.3,25:36.1,0 days 00:01:22.787793,7.46E-05,0.000482532,-3.460220155,4.487267332,1.222850766,COMPLETE
70,130.76,25:36.1,27:03.5,0 days 00:01:27.424646,1.57E-05,0.000121148,-3.845560085,1.174186759,2.673678592,COMPLETE
71,154.94,27:03.5,28:25.7,0 days 00:01:22.235607,1.02E-05,0.000406046,-2.427699609,5.770909854,3.070821291,COMPLETE
72,111.16,01:03.6,02:26.7,0 days 00:01:23.036501,1.09E-05,0.00031499,-2.542652761,6.018236264,3.118834182,COMPLETE
73,103.4,02:26.7,03:44.0,0 days 00:01:17.331512,1.56E-05,0.000357334,-2.427563453,6.890687055,4.255550417,COMPLETE
74,142.38,03:44.0,05:02.1,0 days 00:01:18.050463,1.02E-05,0.000389958,-2.683803963,3.385100594,4.779068287,COMPLETE
75,149.14,05:02.1,06:20.3,0 days 00:01:18.278714,1.24E-05,0.000429901,-3.198705367,5.855738751,0.632296876,COMPLETE
76,122.62,06:20.3,07:39.4,0 days 00:01:19.095582,0.000187399,0.000431782,-2.954421374,5.540022207,0.625081307,COMPLETE
77,127.4,07:39.4,08:58.4,0 days 00:01:18.980971,0.00013291,0.000484532,-3.173670347,4.963329602,3.803545891,COMPLETE
78,133.48,08:58.4,10:17.4,0 days 00:01:18.996482,1.32E-05,0.000417328,-3.586037097,7.088756495,2.981419391,COMPLETE
79,132.32,10:17.4,11:36.4,0 days 00:01:18.973638,9.73E-05,0.000437679,-4.983538138,6.37153841,4.369232144,COMPLETE
80,117.04,11:36.4,12:55.4,0 days 00:01:18.995064,1.15E-05,0.000483996,-2.014526403,8.237247703,3.376568516,COMPLETE
81,112.7,12:55.4,14:14.6,0 days 00:01:19.184607,1.57E-05,0.000389767,-3.327703449,8.88465341,1.477664302,COMPLETE
82,133.62,14:14.6,15:34.4,0 days 00:01:19.845789,1.99E-05,0.000406348,-2.871399959,4.458850426,0.976500563,COMPLETE
83,117.86,15:34.4,16:57.9,0 days 00:01:23.497025,2.42E-05,0.000294939,-3.008746902,0.628548393,0.561643726,COMPLETE
84,119.92,16:57.9,18:17.7,0 days 00:01:19.789573,1.35E-05,0.000362736,-2.693587452,5.603092992,2.092701642,COMPLETE
85,114.2,18:17.7,19:37.6,0 days 00:01:19.875968,1.80E-05,0.000485491,-4.116024778,3.357140668,1.340244422,COMPLETE
86,123.96,19:37.6,20:57.9,0 days 00:01:20.287406,2.83E-05,0.000447873,-2.233299027,5.088278526,1.007263571,COMPLETE
87,113.76,20:57.9,22:17.5,0 days 00:01:19.630248,1.18E-05,0.000338207,-2.421458407,7.460707114,9.571763702,COMPLETE
88,126.96,22:17.5,23:37.4,0 days 00:01:19.916064,1.00E-05,0.000485829,-3.156635804,4.143509917,3.744740079,COMPLETE
89,120.38,23:37.4,24:57.1,0 days 00:01:19.651479,0.000112853,0.000447433,-2.827095838,2.487259019,4.769748089,COMPLETE
90,142.96,24:57.1,26:17.9,0 days 00:01:20.814484,4.82E-05,0.000371208,-1.099622377,1.138551192,1.856899332,COMPLETE
91,102.84,26:17.9,27:38.0,0 days 00:01:20.070911,1.50E-05,9.58E-05,-0.622127241,6.270491284,5.830382015,COMPLETE
92,155.98,27:38.0,28:59.1,0 days 00:01:21.054314,4.54E-05,0.00031959,-1.073572594,1.623758415,5.329026374,COMPLETE
93,153.38,28:59.1,30:19.4,0 days 00:01:20.318240,6.16E-05,0.000320655,-0.354466173,1.945842203,5.412584839,COMPLETE
94,131.2,30:19.4,31:40.8,0 days 00:01:21.425841,6.59E-05,0.0002688,-0.132693231,1.753414911,5.291194872,COMPLETE
95,130.26,31:40.8,33:01.8,0 days 00:01:21.030778,6.03E-05,0.000325602,-0.252768027,1.188862268,5.632042581,COMPLETE
96,120.02,33:01.8,34:23.0,0 days 00:01:21.169906,8.14E-05,0.000402056,-0.674517354,2.234211153,6.562227719,COMPLETE
97,124.8,34:23.0,35:44.6,0 days 00:01:21.548815,4.87E-05,0.000143167,-0.752857525,1.51483062,5.390013173,COMPLETE
98,141.42,35:44.6,37:05.8,0 days 00:01:21.195890,3.76E-05,7.53E-05,-1.462677042,2.871394334,4.972053657,COMPLETE
99,126.72,37:05.8,38:27.6,0 days 00:01:21.867375,4.51E-05,0.000284351,-0.334161244,3.292929968,5.1582083,COMPLETE
100,129.74,38:27.6,39:49.2,0 days 00:01:21.535116,0.00014306,0.000353285,-1.663867798,0.960959576,4.00681818,COMPLETE
101,131.64,39:49.2,41:11.0,0 days 00:01:21.774174,5.84E-05,0.000220364,-0.447425837,0.512402164,4.589228736,COMPLETE
102,93.38,19:54.4,21:17.7,0 days 00:01:23.279907,1.74E-05,0.000337178,-0.890179189,1.577325218,6.036602826,COMPLETE
103,103.1,21:17.7,22:36.2,0 days 00:01:18.517616,2.22E-05,0.000378725,-2.558448922,2.048222706,0.781611502,COMPLETE
104,115.68,22:36.2,23:55.1,0 days 00:01:18.896125,6.87E-05,0.000297215,-3.254457672,6.616186968,1.586438569,COMPLETE
105,131.94,23:55.1,25:13.7,0 days 00:01:18.569427,3.15E-05,0.000313265,-3.050666607,2.578574939,0.57296993,COMPLETE
106,136,25:13.7,26:32.7,0 days 00:01:19.013257,0.00010452,0.000248876,-1.17372641,3.694717188,2.706969981,COMPLETE
107,116.02,26:32.7,27:52.1,0 days 00:01:19.404525,1.19E-05,0.000451222,-1.811228255,6.027788977,4.381363186,COMPLETE
108,122.94,27:52.1,29:11.5,0 days 00:01:19.383261,0.002487575,0.000419446,-3.480954542,2.907359392,1.117463355,COMPLETE
109,149.84,29:11.5,30:31.1,0 days 00:01:19.609895,8.92E-05,0.00049153,-2.617575616,5.342402848,6.410802965,COMPLETE
110,117.68,30:31.1,31:50.5,0 days 00:01:19.380188,8.30E-05,0.00046272,-2.594853359,5.347094108,6.551779561,COMPLETE
111,127.8,31:50.5,33:10.4,0 days 00:01:19.910423,0.000178549,0.000490196,-2.339547606,4.661324014,7.417021985,COMPLETE
112,123.58,33:10.4,34:30.6,0 days 00:01:20.143333,0.000116932,0.000433226,-2.736742467,5.378224539,5.839763972,COMPLETE
113,125.56,34:30.6,35:51.0,0 days 00:01:20.387233,1.44E-05,0.000392785,-2.445370848,5.751507371,5.46155626,COMPLETE
114,128.52,35:51.0,37:14.1,0 days 00:01:23.153450,9.36E-05,0.000491358,-2.792877674,4.148675172,6.53164381,COMPLETE
115,117.84,37:14.1,38:35.9,0 days 00:01:21.709529,7.42E-05,0.000407668,-2.893205511,5.043491712,2.474144673,COMPLETE
116,132.5,38:35.9,39:57.2,0 days 00:01:21.345743,1.27E-05,0.000196025,-3.780555893,7.215494845,0.735767105,COMPLETE
117,179.56,39:57.2,41:18.6,0 days 00:01:21.347313,1.13E-05,0.000462001,-1.914075766,6.611949443,5.232730152,COMPLETE
118,126,41:18.6,42:40.6,0 days 00:01:22.034625,1.00E-05,0.000466543,-1.928966228,7.75260903,4.711941476,COMPLETE
119,112.48,42:40.6,44:02.6,0 days 00:01:22.006207,1.68E-05,0.000434647,-2.082203972,6.56419752,5.23728587,COMPLETE
120,107.92,44:02.6,45:24.9,0 days 00:01:22.265093,1.17E-05,0.000452009,-2.214118955,5.975914467,4.970405143,COMPLETE
121,110.08,45:24.9,46:50.1,0 days 00:01:25.253870,0.000157975,0.000492044,-1.034291576,6.836049183,6.274110188,COMPLETE
122,136.14,46:50.1,48:13.2,0 days 00:01:23.073335,1.36E-05,0.000378677,-3.37866424,5.758465597,5.771959195,COMPLETE
123,133.94,48:13.2,49:35.9,0 days 00:01:22.659380,5.43E-05,0.000323744,-2.460112498,9.8597187,4.388484637,COMPLETE
124,153.82,49:35.9,50:58.5,0 days 00:01:22.614659,1.95E-05,0.000421232,-1.407859078,4.948071525,4.130996086,COMPLETE
125,112.36,50:58.5,52:20.7,0 days 00:01:22.194135,1.14E-05,0.000416813,-1.346134026,4.793398169,3.508398799,COMPLETE
126,126.96,52:20.7,53:43.5,0 days 00:01:22.835545,1.43E-05,0.000348125,-1.7520013,6.399908014,4.050912842,COMPLETE
127,125.82,53:43.5,55:06.0,0 days 00:01:22.501920,0.000243999,0.000454477,-1.526619492,2.243379408,3.695766311,COMPLETE
128,115.24,55:06.0,56:30.2,0 days 00:01:24.150290,4.05E-05,0.000400155,-1.629068385,5.451742975,4.631674512,COMPLETE
129,118.12,56:30.2,57:53.2,0 days 00:01:22.981458,1.72E-05,0.000428488,-1.864685323,1.773210759,4.215639006,COMPLETE
130,123.2,57:53.2,59:16.0,0 days 00:01:22.857393,1.30E-05,0.000472909,-1.46108048,7.168990435,5.151440029,COMPLETE
131,129.4,59:16.0,00:39.1,0 days 00:01:23.053538,0.000107003,0.000164867,-2.652547498,6.182926686,3.1196213,COMPLETE
132,137.12,43:33.0,44:57.2,0 days 00:01:24.193843,2.67E-05,0.000306881,-3.094576174,4.523953585,4.888023724,COMPLETE
133,112.76,44:57.2,46:12.8,0 days 00:01:15.578993,1.93E-05,0.000367515,-2.979546069,5.142472639,0.566894127,COMPLETE
134,115.4,46:12.8,47:28.2,0 days 00:01:15.418788,2.34E-05,0.000490523,-2.270908041,0.872600717,0.92057017,COMPLETE
135,113.78,47:28.2,48:44.4,0 days 00:01:16.241806,1.61E-05,0.000435759,-3.18120097,4.239219035,2.262674359,COMPLETE
136,130.82,48:44.4,50:00.6,0 days 00:01:16.199539,1.10E-05,0.000276187,-1.266562589,1.37865061,1.380750607,COMPLETE
137,101.92,50:00.7,51:17.8,0 days 00:01:17.108208,8.73E-05,0.000356504,-0.816554042,3.722427678,5.4617715,COMPLETE
138,162.86,51:17.8,52:34.9,0 days 00:01:17.143191,6.24E-05,0.000392298,-2.526347774,4.964386318,4.396347465,COMPLETE
139,131.02,52:34.9,53:52.4,0 days 00:01:17.438947,7.34E-05,0.000393391,-2.024517932,5.887694336,4.223239775,COMPLETE
140,130.72,53:52.4,55:08.5,0 days 00:01:16.157699,5.73E-05,0.000415162,-2.464792224,5.579276768,4.383107053,COMPLETE
141,128.7,55:08.5,56:25.5,0 days 00:01:17.009936,6.44E-05,0.000455406,-2.32828797,8.201229798,3.948992766,COMPLETE
142,122.8,56:25.5,57:42.3,0 days 00:01:16.807727,0.000128293,0.000374984,-2.581977204,4.876323459,4.856732573,COMPLETE
143,135.24,57:42.3,58:59.0,0 days 00:01:16.666077,4.87E-05,0.000231165,-2.702531945,4.414207749,4.525591207,COMPLETE
144,96.08,58:59.0,00:17.8,0 days 00:01:18.825609,1.29E-05,0.000333887,-2.864145741,5.348058126,1.223218569,COMPLETE
145,128.22,00:17.8,01:35.0,0 days 00:01:17.185929,3.45E-05,0.000467639,-1.417815412,5.160164317,8.355373211,COMPLETE
146,144.72,01:35.0,02:52.3,0 days 00:01:17.289205,1.48E-05,0.000404448,-2.775248617,5.652643797,5.071203212,COMPLETE
147,129.86,02:52.3,04:09.5,0 days 00:01:17.193629,4.35E-05,0.000400845,-2.632745879,6.460493474,5.300836339,COMPLETE
148,116.46,04:09.5,05:27.1,0 days 00:01:17.611131,1.03E-05,0.000439385,-1.009260858,6.136574518,5.072961265,COMPLETE
149,113.18,05:27.1,06:44.1,0 days 00:01:16.987682,1.53E-05,0.000420358,-2.173471917,6.866960027,3.316667585,COMPLETE
150,131.6,06:44.1,08:01.5,0 days 00:01:17.363036,0.000204037,0.000495798,-2.778743494,5.716153716,5.621834639,COMPLETE
151,124.4,08:01.5,09:18.7,0 days 00:01:17.234903,1.17E-05,0.000389119,-2.345089176,1.868749642,6.004131184,COMPLETE
152,146.48,09:18.7,10:36.1,0 days 00:01:17.316660,2.17E-05,0.000112262,-2.981248925,2.1969849,4.680353074,COMPLETE
153,127.8,10:36.1,11:52.9,0 days 00:01:16.862938,1.91E-05,0.00010923,-3.004304102,2.237518962,4.598806679,COMPLETE
154,116.42,11:52.9,13:10.9,0 days 00:01:17.944144,1.39E-05,0.000114081,-2.544530454,1.368945026,4.7778982,COMPLETE
155,121.3,13:10.9,14:28.1,0 days 00:01:17.197358,6.78E-05,0.000464338,-2.939680893,2.726156359,4.986623136,COMPLETE
156,123.2,14:28.1,15:45.3,0 days 00:01:17.201895,1.61E-05,0.000131824,-2.730756299,1.965769962,2.91284647,COMPLETE
157,104.86,15:45.3,17:02.9,0 days 00:01:17.649986,7.83E-05,7.67E-05,-3.273572566,4.73145619,4.117787431,COMPLETE
158,133.4,17:02.9,18:20.6,0 days 00:01:17.707068,2.23E-05,6.67E-05,-3.140564073,3.921815874,3.859041186,COMPLETE
159,126.18,18:20.6,19:38.2,0 days 00:01:17.570372,1.20E-05,0.000104434,-1.568653708,1.609777181,5.236432353,COMPLETE
160,112.62,19:38.2,20:55.9,0 days 00:01:17.661491,1.45E-05,8.94E-05,-2.481079082,4.940829335,4.830114007,COMPLETE
161,117.42,20:55.9,22:13.4,0 days 00:01:17.513769,9.40E-05,0.000440807,-3.550276683,2.407372016,4.418814539,COMPLETE
163,116.62,08:37.6,10:01.9,0 days 00:01:24.313645,5.30E-05,0.0008161,-1.777175034,3.15417883,5.3830818,COMPLETE
164,166.42,10:01.9,11:26.5,0 days 00:01:24.528043,2.03E-05,0.000591392,-1.674370598,5.52659218,12.91714801,COMPLETE
165,156.62,11:26.5,12:44.9,0 days 00:01:18.459961,2.06E-05,0.000564014,-1.72501895,5.557481002,13.33795138,COMPLETE
166,121.44,12:44.9,14:04.9,0 days 00:01:19.976103,2.12E-05,0.000574833,-1.886639136,5.56290429,13.0010598,COMPLETE
167,139.96,14:04.9,15:24.3,0 days 00:01:19.408404,2.98E-05,0.000535799,-1.652055302,6.007539391,12.38027746,COMPLETE
168,126.18,15:24.3,16:43.5,0 days 00:01:19.176576,2.52E-05,0.000607622,-2.056509856,5.89518827,13.10002197,COMPLETE
169,146.88,16:43.5,18:05.4,0 days 00:01:21.919867,1.65E-05,0.000659438,-1.763677224,5.276149988,13.65351317,COMPLETE
170,123.46,18:05.4,19:37.0,0 days 00:01:31.608216,1.84E-05,0.000666429,-1.791384015,5.350875885,13.74066416,COMPLETE
