number,value,datetime_start,datetime_complete,duration,params_ENT_COEF,params_LEARNING_RATE,params_PENALTY_STAGNATION_FORCE,params_REWARD_DISTANCE_DIFF_SCALE,params_REWARD_SURVIVAL_SCALE,state
200,146.26,06:35.1,07:53.2,0 days 00:01:18.063347,0.000315676,0.000518972,-1.920564304,4.82668611,15.62982867,COMPLETE
201,129.04,07:53.2,09:10.9,0 days 00:01:17.736093,0.000374827,0.00055724,-1.694084352,5.566507625,13.8924383,COMPLETE
202,159.48,09:10.9,10:30.4,0 days 00:01:19.435222,0.000507441,0.000930655,-2.107944142,5.201269547,17.03263322,COMPLETE
203,166.34,10:30.4,11:54.3,0 days 00:01:23.954764,0.000476886,0.000931077,-2.147527045,5.232219978,17.00146216,COMPLETE
204,139.02,11:54.3,13:12.9,0 days 00:01:18.551990,0.000532669,0.000971191,-2.075353717,4.996960322,17.54210593,COMPLETE
205,152.3,13:12.9,14:32.5,0 days 00:01:19.585346,0.00050833,0.000933241,-2.144248278,5.895965508,17.8818352,COMPLETE
206,127.44,14:32.5,15:52.4,0 days 00:01:19.896413,0.000569706,0.000898888,-2.187613479,6.269128952,17.00890027,COMPLETE
207,148.3,15:52.4,17:11.5,0 days 00:01:19.110945,0.00048715,0.000921326,-2.140365923,6.003388656,17.96286278,COMPLETE
208,154.08,17:11.5,18:32.3,0 days 00:01:20.822793,0.000439584,0.000862458,-2.143665021,5.164726671,17.82317554,COMPLETE
209,144.3,18:32.3,19:53.7,0 days 00:01:21.427445,0.000647078,0.000998909,-2.119349054,5.190026733,17.73311972,COMPLETE
210,141.7,19:53.7,21:14.6,0 days 00:01:20.831410,0.000597256,0.000871937,-2.020536311,5.67563554,18.54129119,COMPLETE
211,140.16,21:14.6,22:35.9,0 days 00:01:21.346401,0.000418712,0.000865964,-2.099209307,4.745160478,17.12113608,COMPLETE
212,118.02,22:35.9,23:56.3,0 days 00:01:20.382340,0.000375539,0.000936973,-2.262896403,5.452853031,17.00238515,COMPLETE
213,122.9,23:56.3,25:15.5,0 days 00:01:19.174617,0.000460752,0.000839363,-1.921935877,5.158227908,18.33828386,COMPLETE
214,130.66,25:15.5,26:34.8,0 days 00:01:19.276371,0.000366924,0.00079487,-1.966685844,5.007995964,18.31285522,COMPLETE
215,140.24,26:34.8,27:53.8,0 days 00:01:19.016838,0.000450007,0.000906338,-1.56174564,5.301301172,16.6667589,COMPLETE
216,138.64,27:53.8,29:20.1,0 days 00:01:26.302940,0.001813336,0.000953744,-2.385322627,4.642428599,18.9312617,COMPLETE
217,143.78,29:20.1,30:39.1,0 days 00:01:18.984726,0.000827511,0.000622236,-1.861237746,7.387181709,10.17039401,COMPLETE
218,129.44,30:39.1,32:03.7,0 days 00:01:24.638112,0.000489401,0.000830563,-2.224122539,5.64941457,17.46987014,COMPLETE
219,125.64,32:03.7,33:23.3,0 days 00:01:19.631824,0.000584278,0.000707273,-2.075866302,5.490147099,5.612415018,COMPLETE
220,144.08,33:23.4,34:43.1,0 days 00:01:19.751014,0.000707513,0.000872643,-2.164445049,5.892827202,12.69900111,COMPLETE
221,133.96,34:43.1,36:03.8,0 days 00:01:20.681332,0.004731235,0.00076691,-1.67623198,6.685442482,6.302968843,COMPLETE
222,106.06,36:03.8,37:23.4,0 days 00:01:19.568808,0.000360351,0.000961059,-1.802508818,4.84828547,5.484139625,COMPLETE
223,112.42,50:04.5,51:22.7,0 days 00:01:18.263924,2.23E-05,0.000684435,-2.003111925,9.033946073,7.38920909,COMPLETE
224,120.28,51:22.7,52:41.1,0 days 00:01:18.348297,0.000422334,0.000599959,-1.850097672,5.767398606,13.1970965,COMPLETE
225,116.12,52:41.1,53:59.0,0 days 00:01:17.887925,0.000469544,0.000904871,-1.598781361,6.068015877,14.25392474,COMPLETE
226,131.5,53:59.0,55:16.3,0 days 00:01:17.316621,1.13E-05,0.000512352,-1.715258753,5.30610405,5.31820167,COMPLETE
227,121.72,55:16.3,56:34.1,0 days 00:01:17.742509,0.000537947,0.000574493,-2.281038155,1.444310261,5.903298,COMPLETE
228,112.62,56:34.1,57:52.1,0 days 00:01:18.065141,0.000335814,0.000729424,-2.057427137,1.653806946,16.38064358,COMPLETE
229,118.7,57:52.1,59:10.3,0 days 00:01:18.200884,0.000269969,0.000548972,-1.907743311,5.071428142,17.29558761,COMPLETE
230,131.32,59:10.3,00:28.3,0 days 00:01:17.928716,0.000215535,0.000636532,-1.648477798,5.484613972,17.91905061,COMPLETE
231,146.96,00:28.3,01:46.9,0 days 00:01:18.671535,2.05E-05,0.000849138,-1.800961862,5.845600187,15.7037219,COMPLETE
232,122.2,01:46.9,03:06.0,0 days 00:01:19.112922,2.73E-05,0.000806638,-1.981140294,5.260750956,14.82459517,COMPLETE
233,131.8,03:06.1,04:25.3,0 days 00:01:19.263084,0.000448569,0.000899145,-2.139885078,6.520066441,17.86292481,COMPLETE
234,128.78,04:25.3,05:46.2,0 days 00:01:20.899922,0.000660626,0.000940076,-2.157323498,6.123045764,18.09683677,COMPLETE
235,130.92,05:46.2,09:30.7,0 days 00:03:44.508703,0.000515001,0.000995432,-4.521986839,5.878638404,13.53963217,COMPLETE
236,136.1,09:30.7,10:50.3,0 days 00:01:19.526322,0.00052164,0.000924536,-2.112786268,5.628376644,6.761312873,COMPLETE
237,153.98,10:50.3,12:08.0,0 days 00:01:17.746745,1.24E-05,0.000904396,-1.762374021,5.4005236,15.35718801,COMPLETE
238,137.38,12:08.0,13:25.3,0 days 00:01:17.277831,1.33E-05,0.000680668,-1.766783403,5.39924186,5.261328223,COMPLETE
239,120.54,13:25.3,14:43.2,0 days 00:01:17.896637,1.22E-05,0.000625911,-1.697247461,2.010296811,13.0719381,COMPLETE
240,128.28,14:43.2,16:01.3,0 days 00:01:18.082974,1.04E-05,0.000767543,-1.838741185,4.943531207,15.30507887,COMPLETE
241,134.28,16:01.3,17:18.7,0 days 00:01:17.383703,1.85E-05,0.000519161,-2.511020196,5.173046423,16.6217592,COMPLETE
242,160.32,17:18.7,18:35.3,0 days 00:01:16.680708,2.37E-05,0.00059925,-1.573567373,5.645808303,15.45839146,COMPLETE
243,144.76,18:35.4,19:53.7,0 days 00:01:18.362943,2.53E-05,0.000564031,-1.576798887,5.610984338,15.58336995,COMPLETE
244,143.34,19:53.7,21:12.2,0 days 00:01:18.477455,2.22E-05,0.000603134,-1.668481872,5.38808535,15.33156051,COMPLETE
245,120.5,21:12.2,22:33.1,0 days 00:01:20.949472,6.05E-05,0.000660496,-1.546575646,5.118563248,16.00989635,COMPLETE
246,112.88,22:33.2,23:54.7,0 days 00:01:21.575124,1.74E-05,0.000580419,-1.739472772,5.720840384,15.97862495,COMPLETE
247,124.18,23:54.7,25:14.4,0 days 00:01:19.655200,2.02E-05,0.000875392,-1.655148494,5.520470197,14.85893071,COMPLETE
248,123.32,25:14.4,26:32.8,0 days 00:01:18.421520,1.14E-05,0.000646146,-1.738483689,6.309613797,12.70599785,COMPLETE
249,118.3,26:32.8,27:48.9,0 days 00:01:16.108621,2.33E-05,0.000703612,-1.890938861,4.861417526,5.731249591,COMPLETE
250,144.36,27:48.9,29:06.9,0 days 00:01:17.994808,3.01E-05,0.000966788,-1.590300887,5.281533746,14.1828846,COMPLETE
251,113.74,29:06.9,30:24.8,0 days 00:01:17.843989,3.75E-05,0.000612322,-2.593771045,2.550704175,9.324886204,COMPLETE
252,128.18,30:24.8,31:45.7,0 days 00:01:20.908895,1.48E-05,0.000837673,-1.789794648,5.995489809,5.274068322,COMPLETE
253,152.02,34:01.4,35:18.3,0 days 00:01:16.884570,1.27E-05,0.000883848,-1.995505451,1.256747274,14.57514186,COMPLETE
254,107.96,35:18.3,36:35.4,0 days 00:01:17.136051,1.27E-05,0.00088327,-1.979684974,1.199249833,14.50257815,COMPLETE
255,131.04,36:35.4,37:54.6,0 days 00:01:19.177497,1.80E-05,0.000915194,-2.018012716,0.934486274,15.12023579,COMPLETE
256,148.44,37:54.6,39:12.7,0 days 00:01:18.058400,1.00E-05,0.000800931,-1.912685042,1.197229767,10.58116845,COMPLETE
257,138.28,39:12.7,40:34.8,0 days 00:01:22.164411,8.04E-05,0.000904382,-1.633926616,1.723248558,6.200877777,COMPLETE
258,124.48,40:34.8,42:03.8,0 days 00:01:28.932939,3.25E-05,0.000848956,-2.218731795,4.96128019,15.36031169,COMPLETE
259,137.28,42:03.8,43:22.8,0 days 00:01:19.079618,2.04E-05,0.000952914,-2.070449108,2.238917459,13.88224986,COMPLETE
260,161.04,43:22.9,44:42.2,0 days 00:01:19.374378,1.59E-05,0.000726441,-1.735940796,1.888697576,13.37520638,COMPLETE
261,135.96,44:42.2,46:01.4,0 days 00:01:19.131483,1.58E-05,0.00080312,-1.7127685,7.003435826,13.01908854,COMPLETE
262,141.9,46:01.4,47:20.0,0 days 00:01:18.617605,1.41E-05,0.000509552,-1.547548953,0.707570735,13.30975927,COMPLETE
263,138.06,47:20.0,48:38.3,0 days 00:01:18.351508,1.69E-05,0.000752113,-1.660016566,1.30623557,12.38738235,COMPLETE
264,130.88,48:38.3,50:02.2,0 days 00:01:23.907068,1.35E-05,0.000724114,-2.4038115,1.570926914,13.53138571,COMPLETE
265,164.92,50:02.3,51:21.3,0 days 00:01:19.020823,2.30E-05,0.00099896,-1.774243213,1.915381049,18.78447274,COMPLETE
266,130.06,51:21.3,52:38.1,0 days 00:01:16.829521,2.37E-05,0.000955529,-1.736159906,1.753186092,19.34573656,COMPLETE
267,129.54,52:38.1,53:56.9,0 days 00:01:18.802671,2.19E-05,0.000972047,-1.855714416,1.844171803,18.99282415,COMPLETE
268,132.82,53:56.9,55:15.9,0 days 00:01:18.986271,1.89E-05,0.000903909,-1.951670047,4.546043349,18.4527338,COMPLETE
269,125.92,55:15.9,56:37.0,0 days 00:01:21.132149,1.61E-05,0.000860435,-1.795899646,5.143047904,12.64156368,COMPLETE
270,122.86,56:37.0,57:55.7,0 days 00:01:18.689780,1.14E-05,0.000920544,-1.643153706,1.929741182,16.23916825,COMPLETE
271,136.84,57:55.7,59:15.0,0 days 00:01:19.218671,2.49E-05,0.000994378,-2.04089293,4.718437896,18.7732908,COMPLETE
272,138.44,59:15.0,00:33.7,0 days 00:01:18.739347,2.82E-05,0.000670754,-1.786459971,1.445175524,17.45319804,COMPLETE
273,147.7,00:33.7,01:52.8,0 days 00:01:19.133471,1.96E-05,0.000298989,-1.55714283,5.379728147,13.26330751,COMPLETE
274,122.98,01:52.8,03:12.0,0 days 00:01:19.141123,1.39E-05,0.000584405,-1.712896391,5.592187014,5.654168925,COMPLETE
275,146.34,03:12.0,04:35.8,0 days 00:01:23.773356,2.19E-05,0.000836018,-1.894233712,2.369744399,13.80483625,COMPLETE
276,138.08,04:35.8,05:53.6,0 days 00:01:17.841333,0.000909093,0.000621546,-1.767237572,1.05464884,16.73225562,COMPLETE
277,134.4,05:53.6,07:12.7,0 days 00:01:19.114580,0.001168198,0.000881006,-2.29168661,5.05744276,5.274677427,COMPLETE
278,130.28,07:12.7,08:32.9,0 days 00:01:20.198269,0.000283831,0.000319665,-1.6043342,1.566008235,14.80464917,COMPLETE
279,130.14,08:32.9,09:52.8,0 days 00:01:19.868130,1.58E-05,0.000934197,-1.956554338,7.700414311,15.83268911,COMPLETE
280,128.24,09:52.8,11:11.9,0 days 00:01:19.145844,1.80E-05,0.000652052,-1.839406891,5.289758599,19.17830103,COMPLETE
281,118.72,11:11.9,12:31.3,0 days 00:01:19.321509,1.17E-05,0.000786326,-2.115358651,5.779198712,15.38374209,COMPLETE
282,141.24,12:31.3,13:51.0,0 days 00:01:19.736033,1.95E-05,0.000993976,-1.675851262,1.898011365,19.70127233,COMPLETE
283,139.56,14:16.8,15:38.3,0 days 00:01:21.571885,2.57E-05,0.000284693,-2.202792591,5.476336584,12.00076902,COMPLETE
284,137.02,15:38.3,17:00.7,0 days 00:01:22.412121,1.27E-05,0.000709382,-2.030830578,4.876426236,5.544352238,COMPLETE
285,166.12,17:00.8,18:27.2,0 days 00:01:26.438672,4.54E-05,0.00055072,-1.721579829,5.185237295,12.95426238,COMPLETE
286,142.56,18:27.2,19:52.9,0 days 00:01:25.690789,4.60E-05,0.000541337,-1.716879396,5.185682514,13.08487683,COMPLETE
287,136.5,19:52.9,21:18.0,0 days 00:01:25.090066,1.11E-05,0.000557591,-1.79975191,4.752239547,12.91077082,COMPLETE
288,126.5,21:18.0,22:44.6,0 days 00:01:26.575643,0.000408892,0.0005747,-1.604869949,4.98286054,13.38525647,COMPLETE
289,127,22:44.6,24:15.6,0 days 00:01:30.998277,3.89E-05,0.000599814,-1.666958647,5.656133587,6.032518383,COMPLETE
290,148.54,24:15.6,25:43.0,0 days 00:01:27.434102,6.04E-05,0.000885463,-1.548144014,5.357652065,19.96126409,COMPLETE
291,135,25:43.0,27:13.3,0 days 00:01:30.310728,1.49E-05,0.000532643,-1.752855728,3.530259539,13.68425976,COMPLETE
292,160.94,27:13.3,28:44.5,0 days 00:01:31.231366,5.27E-05,0.000937324,-1.875008848,5.501178943,11.66162042,COMPLETE
293,118.34,28:44.5,30:09.3,0 days 00:01:24.779576,5.14E-05,0.000938666,-1.945401514,5.231772985,11.60627313,COMPLETE
294,138.3,30:09.3,31:27.9,0 days 00:01:18.571561,5.36E-05,0.00094594,-1.841994553,5.062971075,12.1726307,COMPLETE
295,114.6,31:27.9,32:53.4,0 days 00:01:25.466402,4.30E-05,0.000995738,-1.905424616,4.415335718,11.60145806,COMPLETE
296,130.78,32:53.4,34:22.0,0 days 00:01:28.629387,6.72E-05,0.000858245,-1.61759428,5.474735639,17.67287673,COMPLETE
297,118.58,34:22.0,35:47.5,0 days 00:01:25.470744,4.60E-05,0.000893508,-1.87780922,5.129720002,5.308490418,COMPLETE
298,138.32,35:47.5,37:09.1,0 days 00:01:21.583303,5.60E-05,0.000335272,-1.818354422,4.623289517,12.46467004,COMPLETE
299,159.96,37:09.1,38:37.3,0 days 00:01:28.208061,3.51E-05,0.000823199,-1.708655237,5.542569839,12.69909535,COMPLETE
300,126.6,38:37.3,40:01.1,0 days 00:01:23.826880,3.65E-05,0.00025478,-1.692059887,5.548933427,12.72714852,COMPLETE
301,126.98,40:01.1,41:21.5,0 days 00:01:20.429057,4.82E-05,0.000823379,-1.73670538,5.917398474,17.14428975,COMPLETE
302,120.7,41:21.5,42:41.1,0 days 00:01:19.521187,6.04E-05,0.000352545,-1.546876269,5.345452905,12.21497217,COMPLETE
303,135.64,42:41.1,44:01.9,0 days 00:01:20.837973,4.26E-05,0.000816513,-1.634993089,5.653844425,16.85736402,COMPLETE
304,136.48,44:01.9,45:21.7,0 days 00:01:19.745902,3.42E-05,0.000934467,-1.783579275,4.893613699,18.200235,COMPLETE
305,149.64,45:21.7,46:41.4,0 days 00:01:19.764943,5.22E-05,0.000604718,-1.698002076,5.195638103,12.64029265,COMPLETE
306,101.38,46:41.4,48:01.3,0 days 00:01:19.859894,6.94E-05,0.000548709,-2.313095809,5.492698447,8.50971315,COMPLETE
307,120.94,48:01.3,49:20.9,0 days 00:01:19.648613,0.000337468,0.000850862,-1.642532785,4.984672696,13.03323799,COMPLETE
308,142.42,49:20.9,50:40.3,0 days 00:01:19.364767,3.79E-05,0.000588684,-1.542416082,8.034774825,5.276654878,COMPLETE
309,142.92,50:40.3,52:00.4,0 days 00:01:20.108132,2.88E-05,0.000412529,-1.766589863,5.365371484,7.914668827,COMPLETE
310,143.48,52:00.4,53:21.7,0 days 00:01:21.309512,3.17E-05,0.000901634,-2.174059852,6.164075919,5.862077691,COMPLETE
311,144.94,53:21.7,54:41.5,0 days 00:01:19.722632,4.06E-05,0.0005111,-1.860710664,5.798272742,5.167706631,COMPLETE
312,172.84,54:41.5,56:01.7,0 days 00:01:20.257192,1.00E-05,0.000956305,-1.699326284,4.815846139,18.72674372,COMPLETE
313,104.98,48:35.1,54:12.9,0 days 00:05:37.882715,0.001674837,9.02E-05,-2.054891795,0,6.798468667,COMPLETE
314,137.94,54:13.0,00:20.0,0 days 00:06:06.987873,0.009566917,5.07E-05,-1.916596775,0,6.840776337,COMPLETE
315,138.6,25:46.9,31:55.4,0 days 00:06:08.550178,0.008309873,5.29E-05,-1.608027642,0,6.73635637,COMPLETE
316,120.22,31:55.4,38:01.9,0 days 00:06:06.472612,0.008409819,4.03E-05,-1.923034481,0,6.734400052,COMPLETE
317,132.82,38:01.9,44:06.0,0 days 00:06:04.122943,0.006891493,3.85E-05,-2.673124286,0,8.092774872,COMPLETE
318,112.06,44:06.1,50:12.0,0 days 00:06:05.926174,0.000106095,4.93E-05,-1.361427354,0,5.646336159,COMPLETE
319,123,01:03.2,07:12.3,0 days 00:06:09.164783,7.03E-05,9.07E-05,-0.267912667,7.423624457,5.535360006,COMPLETE
320,113.22,07:12.3,13:22.4,0 days 00:06:10.090009,0.003129493,0.000125994,-2.053609775,0.548467201,8.107795809,COMPLETE
321,117.84,13:22.5,19:32.4,0 days 00:06:09.912336,0.003324605,7.27E-05,-1.406257866,9.923248738,7.830648095,COMPLETE
322,119.16,19:32.4,25:41.0,0 days 00:06:08.618855,0.000662975,0.000120446,-2.744472553,1.704846523,5.863814918,COMPLETE
323,127.82,25:41.0,31:51.0,0 days 00:06:10.008697,0.003279892,6.77E-05,-3.588823079,4.209109517,2.635405598,COMPLETE
324,125.06,31:51.0,38:00.5,0 days 00:06:09.478674,9.40E-05,0.000130174,-0.861890545,4.788608455,4.634479771,COMPLETE
325,136.56,38:00.5,44:11.5,0 days 00:06:10.968319,0.00479207,5.74E-05,-2.511041507,9.806688975,8.405009702,COMPLETE
326,157.54,44:11.5,50:24.7,0 days 00:06:13.218241,0.003789759,6.71E-05,-2.435171857,9.799620256,9.115866228,COMPLETE
327,141.36,50:24.7,57:11.7,0 days 00:06:46.983071,0.002613756,7.21E-05,-1.806138638,7.216756121,9.910294598,COMPLETE
328,129.04,57:11.7,03:23.0,0 days 00:06:11.246943,0.001036945,7.89E-05,-2.357575229,7.574585721,9.468663146,COMPLETE
329,142.36,03:23.0,09:33.5,0 days 00:06:10.490124,0.002196447,0.000105809,-1.622697266,7.695489276,9.030670089,COMPLETE
330,113.46,09:33.5,15:43.0,0 days 00:06:09.465448,0.000485773,0.000111308,-0.99987962,7.706517104,9.164573504,COMPLETE
331,135.12,15:43.0,21:51.3,0 days 00:06:08.290025,0.002334733,0.000103097,-2.924451563,8.475686998,9.998151305,COMPLETE
332,130.8,21:51.3,28:00.5,0 days 00:06:09.232707,0.000264998,0.000146573,-2.297431808,6.148679829,8.78296047,COMPLETE
333,115.76,28:00.5,34:12.0,0 days 00:06:11.494325,0.000599473,7.85E-05,-3.910824134,6.233472512,7.666531281,COMPLETE
334,158.7,34:12.0,40:25.3,0 days 00:06:13.238527,0.001086278,9.83E-05,-1.680422501,8.864764688,9.421343584,COMPLETE
335,143.3,40:25.3,46:35.4,0 days 00:06:10.096194,0.001044068,9.62E-05,-1.659153912,8.854376791,9.397501571,COMPLETE
336,136.96,46:35.4,52:48.6,0 days 00:06:13.222982,0.001098892,9.35E-05,-1.099324883,8.996733477,9.282377547,COMPLETE
337,133.92,52:48.6,59:05.8,0 days 00:06:17.182060,0.001391321,0.000151767,-2.201712376,8.944664824,8.555788567,COMPLETE
338,150.48,59:05.8,05:54.8,0 days 00:06:48.978558,0.000388981,0.000102855,-1.635806417,8.883925449,9.697035662,COMPLETE
339,144.42,05:54.8,11:58.0,0 days 00:06:03.137906,0.00040959,8.47E-05,-1.624760229,8.989750183,7.567997021,COMPLETE
340,115.18,11:58.0,18:01.9,0 days 00:06:03.954935,0.000356378,0.000183362,-0.667656378,9.99291087,7.480851333,COMPLETE
341,152.02,18:02.0,24:08.5,0 days 00:06:06.585678,0.000174685,8.15E-05,-1.246637946,8.467449419,9.621128131,COMPLETE
342,127.54,24:08.6,30:30.4,0 days 00:06:21.818493,0.000171539,6.41E-05,-1.1766406,8.324082609,9.719350118,COMPLETE
343,116.52,30:30.4,37:03.4,0 days 00:06:32.967922,0.000176362,6.22E-05,-0.212550843,6.50397447,8.685826118,COMPLETE
344,132.28,37:03.4,43:27.5,0 days 00:06:24.114277,4.55E-05,0.00022647,-3.08475204,9.319964371,9.948635581,COMPLETE
345,106.62,43:27.5,49:36.1,0 days 00:06:08.612240,0.000421251,8.22E-05,-1.418020175,8.341676738,7.375948672,COMPLETE
346,124.32,49:36.1,55:39.8,0 days 00:06:03.630557,0.000206842,8.43E-05,-1.675679179,9.289542316,8.383122129,COMPLETE
347,120.28,55:39.8,01:43.0,0 days 00:06:03.234375,0.000335002,0.000351178,-1.18811365,8.333995995,9.019125188,COMPLETE
348,150.72,01:43.0,07:46.8,0 days 00:06:03.721839,0.000132081,0.00013698,-0.831229153,9.29966089,6.248088788,COMPLETE
349,120.32,43:39.4,49:49.0,0 days 00:06:09.528292,0.000146086,0.00011468,-0.618455144,9.590971141,0.725932152,COMPLETE
350,113.16,49:49.0,55:52.3,0 days 00:06:03.335158,3.77E-05,0.000132107,-0.835970925,7.188006049,6.34064755,COMPLETE
351,134.24,55:52.3,01:56.0,0 days 00:06:03.652974,0.000704194,0.000140691,-0.471811292,3.346820667,4.722933031,COMPLETE
352,139.32,01:56.0,07:58.4,0 days 00:06:02.359768,0.000124826,0.000101025,-2.032064667,8.374114826,3.243350877,COMPLETE
353,139.16,07:58.4,14:02.8,0 days 00:06:04.424921,8.28E-05,0.000166854,-1.280190305,9.481136198,9.494658398,COMPLETE
354,136.98,14:02.8,20:08.9,0 days 00:06:06.036918,6.49E-05,0.000163385,-2.505231742,7.945125603,8.340246196,COMPLETE
355,123.1,20:08.9,26:16.0,0 days 00:06:07.170194,0.000216993,7.20E-05,-1.439594303,8.904828802,7.083187398,COMPLETE
356,136.82,26:16.0,32:21.7,0 days 00:06:05.614002,0.000289979,8.78E-05,-1.754908552,9.946728556,6.032639149,COMPLETE
357,127.62,32:21.7,38:30.0,0 days 00:06:08.362287,0.000533621,0.000106169,-1.0077577,9.1313186,6.449592321,COMPLETE
358,130.56,38:30.1,44:46.5,0 days 00:06:16.489359,0.000822549,0.000115887,-1.933755471,8.663362929,7.946802787,COMPLETE
359,130.18,44:46.6,51:26.5,0 days 00:06:39.939505,0.000406434,9.20E-05,-3.464548513,0.61129348,5.173319409,COMPLETE
360,144.2,51:26.5,57:49.5,0 days 00:06:23.019968,0.001527042,7.60E-05,-1.494985977,9.662921712,9.632957227,COMPLETE
361,143.22,57:49.5,03:56.4,0 days 00:06:06.856666,0.00083915,6.65E-05,-2.145875705,6.942657825,7.23190311,COMPLETE
362,133.82,03:56.4,10:02.3,0 days 00:06:05.850600,0.000129042,5.69E-05,-0.727764109,7.968707114,8.928321604,COMPLETE
363,120.76,13:25.2,19:53.1,0 days 00:06:27.928799,0.001871118,0.000136023,-0.379390846,3.182206773,8.119242766,COMPLETE
