number,value,datetime_start,datetime_complete,duration,params_ENT_COEF,params_LEARNING_RATE,params_PENALTY_STAGNATION_FORCE,params_REWARD_SURVIVAL_SCALE,state
0,126.1,2026-02-06 20:44:30.680787,2026-02-06 20:46:12.007082,0 days 00:01:41.326295,0.0028164224571637733,1.9592115852729138e-05,-4.752732778115146,3.1454044258264093,COMPLETE
1,132.16,2026-02-06 20:46:12.014603,2026-02-06 20:47:47.600835,0 days 00:01:35.586232,0.0006656718532850296,3.792185927173737e-05,-3.3653946915920208,1.4893269748842757,COMPLETE
2,138.82,2026-02-06 20:47:47.604859,2026-02-06 20:49:23.887199,0 days 00:01:36.282340,0.00043844845072244697,4.7645123976529227e-05,-1.5282994810346793,5.329871624849409,COMPLETE
3,131.4,2026-02-06 20:49:23.890876,2026-02-06 20:50:59.603731,0 days 00:01:35.712855,0.009649592742462933,0.0001879841663652801,-3.9380671651262684,7.937151823036168,COMPLETE
4,136.18,2026-02-06 20:50:59.606846,2026-02-06 20:52:36.106026,0 days 00:01:36.499180,0.0002203660874844314,0.00011480228944059176,-3.234965503958803,5.043017732810038,COMPLETE
5,157.1,2026-02-06 20:52:36.109053,2026-02-06 20:54:13.454756,0 days 00:01:37.345703,8.743739859758232e-05,0.00048501082775358824,-1.7194105348987463,1.29127560264504,COMPLETE
6,138.2,2026-02-06 20:54:13.458968,2026-02-06 20:55:48.572326,0 days 00:01:35.113358,0.00011821168689852936,7.7212126054978e-05,-0.5460363152364623,2.8946798543324888,COMPLETE
7,99.78,2026-02-06 20:55:48.575509,2026-02-06 20:57:24.753516,0 days 00:01:36.178007,6.139154061334392e-05,0.0001759292864850385,-1.247597936540056,5.458101891680042,COMPLETE
8,139.26,2026-02-06 20:57:24.756502,2026-02-06 20:59:03.839403,0 days 00:01:39.082901,0.006682510532936818,0.00037511236255396405,-4.826984692261429,6.8987557061347795,COMPLETE
9,117.22,2026-02-06 20:59:03.842447,2026-02-06 21:00:38.837562,0 days 00:01:34.995115,0.00022278990119204044,9.019291024828252e-05,-1.3599476766411842,5.347490193260146,COMPLETE
10,144.57999999999998,2026-02-06 21:00:38.840750,2026-02-06 21:02:15.187011,0 days 00:01:36.346261,1.211298390743648e-05,0.0009552402030539928,-2.487042155889958,0.16377156415408556,COMPLETE
11,,2026-02-06 21:02:15.190403,2026-02-06 21:02:23.838359,0 days 00:00:08.647956,1.0945895995993636e-05,0.0008871771980722358,-2.3238763442169303,0.18685633639908178,FAIL
12,130.92000000000002,2026-02-06 21:03:21.096032,2026-02-06 21:05:01.662605,0 days 00:01:40.566573,1.0457147297709723e-05,0.0009928182413622417,-2.3237352836451435,0.29764863515919227,COMPLETE
